Ndiff,run,model
-97.33333333333334,run16,Brucellosis
-99.33333333333333,run17,Brucellosis
-98.66666666666667,run18,Brucellosis
-94.33333333333334,run19,Brucellosis
-95.33333333333334,run21,Brucellosis
-99.66666666666667,run22,Brucellosis
-97,run23,Brucellosis
-95.66666666666667,run24,Brucellosis
-94.66666666666667,run25,Brucellosis
-98.66666666666667,run26,Brucellosis
-96.66666666666667,run27,Brucellosis
-98,run28,Brucellosis
-99.66666666666667,run29,Brucellosis
-99.66666666666667,run30,Brucellosis
-96.66666666666667,run31,Brucellosis
-97,run32,Brucellosis
-95.33333333333334,run33,Brucellosis
-94.33333333333334,run34,Brucellosis
-92.66666666666666,run35,Brucellosis
-97.33333333333334,run36,Brucellosis
-99.66666666666667,run38,Brucellosis
-91.33333333333333,run39,Brucellosis
-97,run41,Brucellosis
-95.66666666666667,run42,Brucellosis
-93.66666666666667,run43,Brucellosis
-99,run44,Brucellosis
-95.66666666666667,run45,Brucellosis
-94,run46,Brucellosis
-97.66666666666667,run47,Brucellosis
-96,run48,Brucellosis
-99.66666666666667,run49,Brucellosis
-98,run50,Brucellosis
-96,run51,Brucellosis
-97.33333333333334,run52,Brucellosis
-92.66666666666666,run53,Brucellosis
-96.66666666666667,run54,Brucellosis
-97.33333333333334,run55,Brucellosis
-98,run56,Brucellosis
-93.66666666666667,run57,Brucellosis
-99,run58,Brucellosis
-99.33333333333333,run61,Brucellosis
-91.33333333333333,run62,Brucellosis
-97.33333333333334,run63,Brucellosis
-99.33333333333333,run64,Brucellosis
-97,run65,Brucellosis
-99.33333333333333,run66,Brucellosis
-97.33333333333334,run67,Brucellosis
-99,run68,Brucellosis
-98,run69,Brucellosis
-95,run70,Brucellosis
-99,run71,Brucellosis
-92.66666666666666,run72,Brucellosis
-91,run73,Brucellosis
-93.66666666666667,run74,Brucellosis
-96.66666666666667,run75,Brucellosis
-92.66666666666666,run76,Brucellosis
-98.33333333333333,run77,Brucellosis
-97.33333333333334,run78,Brucellosis
-97.66666666666667,run79,Brucellosis
-98.33333333333333,run80,Brucellosis
-99.33333333333333,run81,Brucellosis
-97,run82,Brucellosis
-96.66666666666667,run83,Brucellosis
-99.66666666666667,run84,Brucellosis
-98.33333333333333,run85,Brucellosis
-99.33333333333333,run86,Brucellosis
-94,run87,Brucellosis
-99.33333333333333,run88,Brucellosis
-99.33333333333333,run89,Brucellosis
-93,run90,Brucellosis
-97.66666666666667,run91,Brucellosis
-98.33333333333333,run93,Brucellosis
-98.33333333333333,run94,Brucellosis
-94.66666666666667,run95,Brucellosis
-95,run96,Brucellosis
-95.33333333333334,run97,Brucellosis
-95.66666666666667,run98,Brucellosis
-92,run99,Brucellosis
-92.66666666666666,run100,Brucellosis
