Ndiff,run,model,transmit
20.26578073,run63,FMD,DD
46.84385382,run64,FMD,DD
14.6179402,run65,FMD,DD
56.1461794,run66,FMD,DD
22.25913621,run67,FMD,DD
30.56478405,run68,FMD,DD
42.19269103,run69,FMD,DD
46.84385382,run70,FMD,DD
23.25581395,run71,FMD,DD
32.89036545,run72,FMD,DD
11.62790698,run73,FMD,DD
29.56810631,run74,FMD,DD
30.23255814,run75,FMD,DD
5.315614618,run76,FMD,DD
14.6179402,run77,FMD,DD
24.91694352,run78,FMD,DD
-15.28239203,run79,FMD,DD
45.18272425,run80,FMD,DD
39.20265781,run81,FMD,DD
29.56810631,run82,FMD,DD
24.25249169,run83,FMD,DD
37.54152824,run84,FMD,DD
14.6179402,run85,FMD,DD
50.16611296,run86,FMD,DD
26.24584718,run87,FMD,DD
-18.93687708,run88,FMD,DD
6.644518272,run89,FMD,DD
12.95681063,run90,FMD,DD
45.18272425,run91,FMD,DD
-5.980066445,run92,FMD,DD
30.56478405,run93,FMD,DD
-12.62458472,run94,FMD,DD
47.50830565,run95,FMD,DD
33.88704319,run96,FMD,DD
4.651162791,run97,FMD,DD
15.28239203,run98,FMD,DD
-6.976744186,run99,FMD,DD
51.82724252,run100,FMD,DD
